SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,RAIL_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age
440000,9375,1753,2815.9,42815.3,37742.2,15954.9,67
349000,9375,1715,4359.1,43504.9,37340.5,18125,63
8.00E+05,9375,2276,4412.9,43530.4,37328.7,18200.5,61
988000,12450,2058,4585,43797.5,37423.2,18514.4,63
755000,12800,1684,4063.4,43599.7,37550.8,17903.4,42
630000,9900,1531,2391.4,43135.1,38176.2,15687.2,41
1020000,10387,1753,3277.4,43598.7,37973.9,17068.2,63
850000,10272,1663,3112.4,43780.8,38198.3,16989.9,21
250000,9375,1493,2081.8,43481.7,38542,15623.3,56
1220000,13803,3077,2937.7,43730.1,38235.2,16787,63
1160000,10848,1983,3512,44018.8,38132.1,17618.3,64
260000,8438,1794,242.8,43127.5,39333.4,13433.6,51
178000,8438,1509,652.2,43244.6,39200.2,13927,56
250000,8438,1331,705,43261.2,39184.8,13995.2,66
913500,8475,1742,2432.6,44047.7,38727.5,16494,46
159000,8375,1158,164,43467.9,39609.3,13555.8,65
199000,8375,1064,209.4,43481.3,39591.8,13615.1,48
590000,9375,2574,1847.6,44007.1,38994.4,15786.3,62
450000,10625,1529,1805.9,44081.8,39058.8,15809.4,61
1870000,10875,4552,3253.8,44898.4,38841.8,18007.8,8
1067300,10875,3137,3200.4,44968.8,38915.2,18007.1,31
1056000,8550,2266,2658.6,44914.6,39159.6,17421.5,42
9.00E+05,18745,3992,4621.6,45894.1,38871.9,20105.8,59
1015000,12315,1920,2395.1,45179.1,39419,17352.7,21
1235000,9375,2931,3662.5,45722.7,39195.8,19069.7,58
1587500,12500,4428,4815.7,46198.8,39022.9,20455.9,16
1265000,9375,3313,4257.8,46059.9,39174,19836.3,55
2450000,9375,4028,3523.5,45930.7,39415.6,19068.5,2
980000,9375,3083,3584.5,45956.4,39406.1,19144.5,57
1130000,9375,2650,2835,45902.9,39736.8,18330.5,60
1340000,9375,2566,3479.1,46114.7,39573.8,19140.8,58
1200000,15244,3315,5067.3,46848.5,39436.1,21037.4,37
1550000,9375,2358,3974.4,46547.7,39690.8,19835.7,42
1020000,9750,2494,4844.5,46955.5,39637,20858.2,16
975000,9375,2541,1673,45878.9,40296.2,17128.6,52
950000,9375,2387,2704.7,46285.1,40070,18479.8,26
1675000,13176,4480,4048.2,46908.8,39925.7,20065.3,24
120000,1889,862,3144.4,47253.4,40661.5,19372.4,21
73000,2654,916,967.4,46884,41370.9,17059.2,66
86500,2999,861,1741,47121.7,41200,17946.2,62
99300,3000,884,1773.5,47305.5,41324.7,18082.7,58
1604000,9140,1484,8143.2,58214.8,49161.3,17891.1,46
1225000,9350,3096,3720.8,57701.4,50234.3,14328.4,16
1830000,8800,4729,4288.9,58142.5,50464.3,14538.6,16
1900000,9200,4289,3423.6,57952.4,50589.1,13916.1,36
1100000,8800,2520,4616.9,58584.9,50767.2,14581.5,31
1375000,9200,2991,4097.8,59591.3,51907.6,13585.3,35
1425000,9200,2676,4329.7,59673.3,51905.1,13751.1,42
1270000,8800,3082,4113.1,59994.3,52284.2,13403.6,45
1250000,9350,2990,3891.9,60086.7,52448,13164.2,27
1300000,8800,3054,3614.9,60213.5,52663.2,12857.6,29
1200000,8800,2932,3609.3,60991.5,53400.4,12493.5,30
2100000,11876,3537,7889,63232.2,57093,15124.4,28
9.00E+05,13570,2111,7501.9,62911.1,57407.5,14649.4,47
715000,7500,4098,7890.7,62834.1,57524.4,14978.8,61
1600000,4402,3089,8363.1,62149.3,58342.5,15202.9,1
1550000,4402,3089,8374,62028.6,58464.9,15174.2,1
1650000,4402,3089,8377.7,61988.4,58505.6,15164.8,1
1200000,7290,3912,8063.4,60076.1,60076.1,14353.5,19
1385000,5904,3678,7574.6,60022.8,60022.8,13879.2,10
1200000,5564,2978,7847.3,59988.7,59988.7,14132.4,9
1100000,5500,2626,8556.3,59983.9,59983.9,14802.7,10
2600000,13125,3482,8385.9,59042.4,59042.4,14469.2,30
1650000,8144,2674,5757.2,58493.8,58493.8,11819.8,22
1250000,6286,3015,5823.5,58415.6,58415.6,11865.8,18
1365000,5000,3611,5975.4,58080,58080,11958.8,18
2600000,15963,2707,8298.3,56623,56623,14121.3,77
1189900,4692,3236,2951.4,55656.6,55656.6,8745.6,17
1100000,3912,3143,2907.1,55623.9,55623.9,8697.5,17
